Model_Contribution	MolID_1###N(CH3)2 (not amide)	MolID_1###CONH (acyclic)	MolID_1###N(CH3)2 (aliphatic)	MolID_2###CONH (acyclic)	MolID_3###CONH (acyclic)	MolID_3###morpholine	MolID_4###N(CH3)2 (not amide)	MolID_4###CONH (acyclic)	MolID_4###N(CH3)2 (aliphatic)	MolID_5###CONH (acyclic)	MolID_6###CONH (acyclic)	MolID_6###morpholine	MolID_7###N(CH3)2 (not amide)	MolID_7###N(CH3)2 (aliphatic)	MolID_7###CONH (acyclic)	MolID_8###CONH (acyclic)	MolID_9###morpholine	MolID_9###CONH (acyclic)	MolID_10###morpholine	MolID_11###N(CH3)2 (aliphatic)	MolID_11###N(CH3)2 (not amide)	MolID_12###morpholine	MolID_13###morpholine	MolID_14###N(CH3)2 (aliphatic)	MolID_14###CONH (acyclic)	MolID_14###phenyl unsubst	MolID_14###N(CH3)2 (not amide)	MolID_15###phenyl unsubst	MolID_15###CONH (acyclic)	MolID_16###morpholine	MolID_16###CONH (acyclic)	MolID_16###phenyl unsubst	MolID_17###N(CH3)2 (aliphatic)	MolID_17###N(CH3)2 (not amide)	MolID_17###CONH (acyclic)	MolID_17###phenyl unsubst	MolID_18###phenyl unsubst	MolID_18###CONH (acyclic)	MolID_19###morpholine	MolID_19###CONH (acyclic)	MolID_19###phenyl unsubst	MolID_20###phenyl unsubst	MolID_20###N(CH3)2 (not amide)	MolID_20###N(CH3)2 (aliphatic)	MolID_20###CONH (acyclic)	MolID_21###N(CH3)2 (aliphatic)	MolID_21###N(CH3)2 (not amide)	MolID_23###morpholine	MolID_24###N(CH3)2 (aliphatic)	MolID_24###N(CH3)2 (not amide)	MolID_26###morpholine	MolID_27###N(CH3)2 (aliphatic)	MolID_27###N(CH3)2 (not amide)	MolID_29###morpholine
svm_REFRACTIVITY	-0.174250	-0.282698	-0.174250	-0.213228	-0.114771	0.090390	-0.269877	-0.370173	-0.269877	-0.308396	-0.210953	0.088878	-0.268246	-0.268246	-0.396026	-0.334323	0.110425	-0.236851	0.043383	-0.268852	-0.268852	0.041004	0.062451	-0.170139	-0.358130	-0.100453	-0.170139	-0.201060	-0.289021	0.004639	-0.190868	-0.189191	-0.270795	-0.270795	-0.444288	-0.118835	-0.219406	-0.382871	-0.001823	-0.285680	-0.207493	-0.138304	-0.269147	-0.269147	-0.470081	-0.245406	-0.245406	0.231147	-0.337277	-0.337277	0.232999	-0.335464	-0.335464	0.254554
svm_overall	-0.443368	0.031682	-0.443368	-0.053456	0.903407	2.101273	-0.755247	-0.112036	-0.755247	-0.198760	1.000712	2.473047	-0.772028	-0.772028	-0.020760	-0.107646	2.315497	1.091641	1.640639	-0.909930	-0.909930	1.992084	1.832953	-0.403599	-0.175556	-0.392675	-0.403599	-0.608647	-0.265625	1.223527	0.588489	-0.638527	-0.732224	-0.732224	-0.247605	-0.411201	-0.627109	-0.339249	1.579718	0.757967	-0.656265	-0.500348	-0.749030	-0.749030	-0.149107	-0.101112	-0.101112	3.089519	-0.445791	-0.445791	3.146029	-0.455895	-0.455895	2.996704
svm_HB	0.106280	0.184639	0.106280	0.227124	0.317075	0.308137	0.086319	0.145340	0.086319	0.187101	0.277203	0.292103	0.083986	0.083986	0.158703	0.200450	0.287804	0.290642	0.161557	0.019510	0.019510	0.138817	0.134128	0.115765	0.217859	-0.015508	0.115765	-0.029880	0.260234	0.310152	0.349741	-0.022754	0.095292	0.095292	0.176450	-0.024694	-0.039059	0.218100	0.293663	0.307791	-0.031921	-0.033418	0.092934	0.092934	0.189859	0.202140	0.202140	0.525542	0.194298	0.194298	0.521417	0.192166	0.192166	0.517365
svm_LOGP	0.115848	0.164267	0.115848	0.189125	0.314536	0.374014	0.077078	0.116543	0.077078	0.141430	0.267347	0.336307	0.058673	0.058673	0.351501	0.376273	0.214848	0.502266	0.173619	0.008793	0.008793	0.133202	0.011069	0.097256	0.156800	-0.069482	0.097256	-0.096453	0.178556	0.320657	0.301347	-0.076391	0.053014	0.053014	0.108010	-0.082629	-0.109567	0.129795	0.277538	0.253122	-0.089496	-0.132292	0.034587	0.034587	0.350701	0.173594	0.173594	0.521289	0.138523	0.138523	0.486987	0.120448	0.120448	0.366475
svm_CHARGE	-0.491320	-0.034431	-0.491320	-0.256490	0.387010	1.329126	-0.648865	-0.003582	-0.648865	-0.218817	0.667973	1.756523	-0.646521	-0.646521	-0.134685	-0.349897	1.702924	0.536434	1.261715	-0.669439	-0.669439	1.678962	1.624783	-0.446515	-0.192218	-0.207605	-0.446515	-0.281860	-0.415741	0.586843	0.127971	-0.351100	-0.609753	-0.609753	-0.087669	-0.185402	-0.259647	-0.304348	1.009614	0.483009	-0.328198	-0.196695	-0.607398	-0.607398	-0.219388	-0.231470	-0.231470	1.812003	-0.441353	-0.441353	1.904906	-0.432999	-0.432999	1.858653
pls_REFRACTIVITY	-0.128314	-0.179976	-0.128314	-0.103964	-0.026944	0.072952	-0.124108	-0.294017	-0.124108	-0.224978	-0.147389	0.044627	-0.128345	-0.128345	-0.275764	-0.206725	0.046783	-0.129136	0.060099	-0.118710	-0.118710	0.031325	0.033481	-0.121790	-0.160522	-0.030270	-0.121790	-0.095022	-0.084511	-0.003067	-0.007490	-0.112813	-0.120275	-0.120275	-0.273785	-0.041293	-0.106045	-0.204746	-0.034083	-0.127157	-0.123836	-0.053094	-0.124512	-0.124512	-0.255531	-0.135238	-0.135238	0.184573	-0.129361	-0.129361	0.157920	-0.133597	-0.133597	0.160076
pls_overall	-0.554892	0.110630	-0.554892	0.052550	1.151578	2.231190	-0.799778	-0.132149	-0.799778	-0.188668	1.124243	2.372712	-0.815569	-0.815569	-0.095736	-0.152255	2.249621	1.160655	1.906899	-0.952580	-0.952580	2.033398	1.910307	-0.368359	-0.108637	-0.455059	-0.368359	-0.586658	-0.167432	0.755676	0.770515	-0.990863	-0.619450	-0.619450	-0.267050	-0.429598	-0.561197	-0.324284	0.890994	0.827545	-0.965402	-0.530041	-0.635240	-0.635240	-0.225906	-0.121130	-0.121130	2.176046	-0.432066	-0.432066	1.964425	-0.442459	-0.442459	1.846731
pls_HB	0.082243	0.195455	0.082243	0.215154	0.284488	0.229095	0.044879	0.135927	0.044879	0.154843	0.224459	0.190259	0.042373	0.042373	0.148337	0.167253	0.184317	0.236868	0.114245	-0.012176	-0.012176	0.072971	0.067029	0.073853	0.230641	-0.041741	0.073853	-0.055486	0.250340	0.201930	0.319674	-0.060517	0.035213	0.035213	0.168765	-0.050962	-0.064707	0.187681	0.161818	0.257296	-0.069737	-0.058907	0.032708	0.032708	0.181175	0.159675	0.159675	0.382818	0.126501	0.126501	0.348172	0.123996	0.123996	0.342230
pls_LOGP	0.076803	0.184380	0.076803	0.186145	0.323937	0.297398	0.018950	0.111262	0.018950	0.112799	0.250576	0.233638	0.010483	0.010483	0.305711	0.307248	0.137667	0.445025	0.127448	-0.039712	-0.039712	0.065048	-0.030923	0.049129	0.137237	-0.136177	0.049129	-0.161000	0.138622	0.220429	0.269467	-0.161032	-0.015287	-0.015287	0.063293	-0.149275	-0.174098	0.064449	0.150106	0.195280	-0.174129	-0.230513	-0.023754	-0.023754	0.262641	0.102114	0.102114	0.339673	0.039896	0.039896	0.271547	0.031429	0.031429	0.175577
pls_CHARGE	-0.585624	-0.089230	-0.585624	-0.244785	0.570096	1.631745	-0.739499	-0.085321	-0.739499	-0.231331	0.796597	1.904188	-0.740080	-0.740080	-0.274021	-0.420031	1.880853	0.607898	1.605107	-0.781982	-0.781982	1.864054	1.840720	-0.369551	-0.315993	-0.246871	-0.369551	-0.275150	-0.471883	0.336384	0.188864	-0.656501	-0.519101	-0.519101	-0.225323	-0.188069	-0.216348	-0.371668	0.613152	0.502126	-0.597699	-0.187526	-0.519683	-0.519683	-0.414190	-0.247682	-0.247682	1.268982	-0.469102	-0.469102	1.186785	-0.464287	-0.464287	1.168848
